foodgroup,marketgroup,year,quarter,price,se,n,division,region,aggweight,totexp
12,92,2010,4,0.3585124,0.011635,458,2,1,1023050,6431551.446
12,93,2010,4,0.3320031,0.006541,1966,3,2,4433415,2.434069677E7
12,94,2010,4,0.3388076,0.009257,1299,4,2,3442838,1.484031901E7
12,95,2010,4,0.345094,0.007802,1528,5,3,5422375,2.768915618E7
12,96,2010,4,0.3214121,0.010022,784,6,3,2376012,9811208.042
12,97,2010,4,0.3445275,0.011095,983,7,3,3576243,1.381030995E7
12,98,2010,4,0.4265894,0.016271,763,8,4,2653240,1.144484826E7
12,99,2010,4,0.430901,0.018714,647,9,4,2749702,1.465486355E7
13,1,2010,4,0.3388057,0.021714,228,1,1,1274081,2158461.025
13,2,2010,4,0.3786169,0.029662,223,2,1,3144836,3425581.252
13,3,2010,4,0.2773578,0.009017,1532,2,1,4309950,8052951.591
13,4,2010,4,0.280897,0.009785,798,2,1,3505825,6368236.251
13,5,2010,4,0.2555139,0.005863,1803,3,2,5891526,1.307633784E7
13,6,2010,4,0.2393067,0.005632,1963,4,2,5294133,1.274680814E7
13,7,2010,4,0.2632376,0.013179,628,5,3,2355997,5528921.46
13,8,2010,4,0.2516195,0.007395,1297,5,3,4541935,1.163733296E7
13,9,2010,4,0.2842376,0.01455,308,5,3,1147058,3390726.291
13,10,2010,4,0.2321891,0.006315,1298,6,3,4682422,1.076650569E7
13,11,2010,4,0.2193368,0.008641,603,7,3,2120144,5169218.543
13,12,2010,4,0.2344418,0.007435,1185,8,4,4332866,7402918.443
13,13,2010,4,0.2376326,0.011487,234,8,4,1435057,2177520.43
13,14,2010,4,0.2613206,0.010433,546,9,4,2523353,4012821.312
13,15,2010,4,0.2751536,0.010966,718,9,4,5760010,9300989.163
13,16,2010,4,0.2642343,0.008421,791,3,2,3380809,5433765.514
13,17,2010,4,0.2988417,0.007815,1385,5,3,4798150,1.118891363E7
13,18,2010,4,0.2351642,0.013609,499,7,3,1581901,3897812.454
13,19,2010,4,0.3010865,0.009613,625,1,1,3164086,5336410.142
13,20,2010,4,0.3113097,0.014037,575,2,1,4407152,5900690.007
13,21,2010,4,0.242242,0.005595,1541,3,2,4364813,9981723.311
13,22,2010,4,0.2465871,0.009231,809,9,4,3457822,6276004.476
13,23,2010,4,0.2653162,0.010296,349,9,4,2731144,3951812.604
13,24,2010,4,0.241364,0.011074,598,5,3,2573463,5093613.542
13,25,2010,4,0.241489,0.007357,1435,7,3,6637076,1.339102061E7
13,26,2010,4,0.2733925,0.010952,601,5,3,2817007,5681681.546
13,91,2010,4,0.2779566,0.018669,205,1,1,912050,1747341.613
13,92,2010,4,0.235027,0.009342,336,2,1,1023050,2313906.066
13,93,2010,4,0.268658,0.006429,1450,3,2,4433415,1.060341768E7
13,94,2010,4,0.2561176,0.007123,1055,4,2,3442838,9124279.291
13,95,2010,4,0.2429333,0.006696,1218,5,3,5422375,1.363312493E7
13,96,2010,4,0.2575966,0.010137,601,6,3,2376012,5341450.478
13,97,2010,4,0.2322163,0.008931,810,7,3,3576243,7906146.445
13,98,2010,4,0.3032674,0.016045,529,8,4,2653240,5546425.915
13,99,2010,4,0.2670052,0.016223,442,9,4,2749702,5171251.854
14,1,2010,1,0.280409,0.015791,33,1,1,1274081,520421.2687
14,2,2010,4,0.3309181,0.01584,52,2,1,3144836,735253.9119
14,3,2010,4,0.2848293,0.008815,157,2,1,4309950,525717.6299
14,4,2010,4,0.3030972,0.008923,87,2,1,3505825,444717.3311
14,5,2010,4,0.2809088,0.008803,220,3,2,5891526,1095908.916
14,6,2010,4,0.244425,0.005568,301,4,2,5294133,939070.9305
14,7,2010,4,0.2898126,0.008439,120,5,3,2355997,640833.1672
14,8,2010,4,0.2719963,0.006894,324,5,3,4541935,1722683.041
14,9,2010,4,0.2802306,0.017359,45,5,3,1147058,237194.4112
14,10,2010,4,0.2660818,0.005842,370,6,3,4682422,1997095.038
14,11,2010,4,0.2342932,0.007359,163,7,3,2120144,612124.6411
14,12,2010,4,0.292747,0.012037,193,8,4,4332866,1135535.448
14,13,2010,4,0.2954324,0.031001,32,8,4,1435057,214450.0378
14,14,2010,4,0.268327,0.014115,145,9,4,2523353,601593.6184
14,15,2010,4,0.3141203,0.020895,157,9,4,5760010,1561294.569
14,16,2010,4,0.2613012,0.012254,126,3,2,3380809,694410.711
14,17,2010,4,0.3061108,0.01105,233,5,3,4798150,1368267.112
14,18,2010,4,0.1893284,0.006486,148,7,3,1581901,535910.3001
14,19,2010,4,0.2639469,0.0107,64,1,1,3164086,336517.3083
14,20,2010,4,0.3156269,0.023133,64,2,1,4407152,488320.2208
14,21,2010,4,0.2866505,0.011053,201,3,2,4364813,762794.9644
14,22,2010,4,0.2872259,0.014134,155,9,4,3457822,870076.5697
14,23,2010,4,0.3575956,0.029533,94,9,4,2731144,897662.2664
14,24,2010,4,0.2574077,0.010789,137,5,3,2573463,744307.3608
14,25,2010,4,0.2419752,0.005028,510,7,3,6637076,3487574.708
14,26,2010,4,0.2880299,0.008824,101,5,3,2817007,1102415.24
14,91,2010,4,0.2981248,0.022295,38,1,1,912050,206527.5767
14,92,2009,1,0.3116224,0.016394,38,2,1,1023023,166729.4811
14,93,2010,4,0.2527182,0.007228,198,3,2,4433415,729852.2606
14,94,2010,4,0.2624822,0.009326,178,4,2,3442838,1640964.319
14,95,2010,4,0.2610197,0.004521,313,5,3,5422375,2233118.312
14,96,2010,4,0.2516527,0.009105,168,6,3,2376012,909199.1684
14,97,2010,4,0.2240932,0.009031,263,7,3,3576243,2631096.177
14,98,2010,4,0.2596514,0.015167,94,8,4,2653240,485853.5499
14,99,2010,4,0.2673839,0.023444,112,9,4,2749702,1045022.75
15,1,2010,4,0.2078748,0.011828,150,1,1,1274081,1498296.096
15,2,2010,4,0.2224647,0.006516,209,2,1,3144836,3407589.999
15,3,2010,4,0.1983377,0.003797,1252,2,1,4309950,6164879.23
15,4,2010,4,0.2027377,0.005178,581,2,1,3505825,4183931.906
15,5,2010,4,0.2042864,0.002716,1529,3,2,5891526,1.024995067E7
15,6,2010,4,0.1839505,0.002601,1648,4,2,5294133,1.000754478E7
15,7,2010,4,0.1972455,0.003834,509,5,3,2355997,3877379.785
15,8,2010,4,0.1899879,0.00288,1039,5,3,4541935,6907434.494
15,9,2010,4,0.1943244,0.005947,218,5,3,1147058,1227149.416
15,10,2010,4,0.1910406,0.002438,1179,6,3,4682422,1.067815799E7
15,11,2010,4,0.1718816,0.003733,482,7,3,2120144,3221221.248
15,12,2010,4,0.1958191,0.003036,951,8,4,4332866,6192456.171
15,13,2010,4,0.1837091,0.006743,178,8,4,1435057,1915961.169
15,14,2010,4,0.2198869,0.004397,465,9,4,2523353,3890715.018
15,15,2010,4,0.2165948,0.004588,540,9,4,5760010,7796019.326
15,16,2010,4,0.2116518,0.004909,648,3,2,3380809,4205072.246
15,17,2010,4,0.2076443,0.002139,1150,5,3,4798150,8565930.664
15,18,2010,4,0.1580468,0.002696,383,7,3,1581901,2043156.187
15,19,2010,4,0.2042498,0.004037,445,1,1,3164086,3288283.158
15,20,2010,4,0.1898645,0.003915,477,2,1,4407152,4722840.951
15,21,2010,4,0.2004891,0.003086,1324,3,2,4364813,8039730.806
15,22,2010,4,0.1992636,0.00478,495,9,4,3457822,3103046.653
15,23,2010,4,0.246478,0.007333,264,9,4,2731144,3630320.04
15,24,2010,4,0.1827102,0.003589,543,5,3,2573463,3914663.918
15,25,2010,4,0.1782532,0.002293,1191,7,3,6637076,8538786.625
15,26,2010,4,0.191803,0.004268,514,5,3,2817007,3997382.581
15,91,2010,4,0.2079229,0.006296,133,1,1,912050,823681.9349
15,92,2010,4,0.1795509,0.005556,223,2,1,1023050,1405058.472
15,93,2010,4,0.1959519,0.00295,1197,3,2,4433415,8073317.695
15,94,2010,4,0.1721597,0.002298,893,4,2,3442838,5557366.308
15,95,2010,4,0.1909949,0.002828,931,5,3,5422375,8001607.285
15,96,2010,4,0.1846817,0.002754,516,6,3,2376012,4032463.14
15,97,2010,4,0.1685511,0.002276,612,7,3,3576243,4249914.649
15,98,2010,4,0.2015303,0.004842,403,8,4,2653240,2949195.783
15,99,2010,4,0.1975046,0.006271,304,9,4,2749702,3611884.536
16,1,2010,4,0.5549982,0.016641,400,1,1,1274081,9610201.406
16,2,2010,4,0.5810951,0.015995,512,2,1,3144836,2.660492532E7
16,3,2010,4,0.529106,0.007781,2101,2,1,4309950,3.276400479E7
16,4,2010,4,0.5473665,0.008706,1284,2,1,3505825,3.148127085E7
16,5,2010,4,0.4937759,0.006347,2522,3,2,5891526,4.693448385E7
16,6,2010,4,0.497359,0.006154,2550,4,2,5294133,4.434656687E7
16,7,2010,4,0.5028425,0.014538,835,5,3,2355997,1.763772184E7
16,8,2010,4,0.4971367,0.007824,1727,5,3,4541935,3.373774629E7
16,9,2010,4,0.5378985,0.013842,391,5,3,1147058,8110947.704
16,10,2010,4,0.4941385,0.008514,1627,6,3,4682422,3.498314572E7
16,11,2010,4,0.4857944,0.011525,730,7,3,2120144,1.522851837E7
16,12,2010,4,0.4840497,0.007236,1832,8,4,4332866,3.950375525E7
16,13,2010,4,0.506005,0.015979,405,8,4,1435057,1.362635801E7
16,14,2010,4,0.5362209,0.011482,1089,9,4,2523353,2.557423198E7
16,15,2010,4,0.5201491,0.008799,1337,9,4,5760010,5.099422289E7
16,16,2010,4,0.4910114,0.007891,1306,3,2,3380809,2.537459112E7
16,17,2010,4,0.5409884,0.008585,1912,5,3,4798150,3.869597201E7
16,18,2010,4,0.4369453,0.012051,623,7,3,1581901,9614966.148
16,19,2010,4,0.5829678,0.009888,1150,1,1,3164086,2.99936294E7
16,20,2010,4,0.5406174,0.009044,1275,2,1,4407152,4.065047402E7
16,21,2010,4,0.49735,0.007702,2005,3,2,4364813,3.431923777E7
16,22,2010,4,0.4933769,0.009388,1238,9,4,3457822,2.602202856E7
16,23,2010,4,0.536429,0.012144,730,9,4,2731144,2.279110736E7
16,24,2010,4,0.4787188,0.011336,889,5,3,2573463,2.050008523E7
16,25,2010,4,0.4920199,0.006947,2060,7,3,6637076,4.78942507E7
16,26,2010,4,0.5331322,0.009191,892,5,3,2817007,2.469411997E7
16,91,2010,4,0.5190977,0.016373,330,1,1,912050,9394339.318
16,92,2010,4,0.5474923,0.013547,387,2,1,1023050,7138373.404
16,93,2010,4,0.4843287,0.007056,1856,3,2,4433415,3.422479498E7
16,94,2010,4,0.4932719,0.008366,1268,4,2,3442838,2.698440433E7
16,95,2010,4,0.5160865,0.008918,1531,5,3,5422375,4.083332093E7
16,96,2010,4,0.4908507,0.009573,755,6,3,2376012,1.608828662E7
16,97,2010,4,0.474411,0.010675,952,7,3,3576243,2.16432529E7
16,98,2010,4,0.5136335,0.013154,765,8,4,2653240,2.19602464E7
16,99,2010,4,0.5082708,0.014513,734,9,4,2749702,2.414820743E7
17,3,2010,4,0.2158322,0.035886,98,2,1,4309950,558023.0673
17,4,2010,4,0.3814589,0.043099,49,2,1,3505825,252243.859
17,5,2010,4,0.2288018,0.027101,121,3,2,5891526,689955.8101
17,6,2010,4,0.2336821,0.02875,176,4,2,5294133,782083.4484
17,7,2010,4,0.2174671,0.038754,30,5,3,2355997,110115.9518
17,8,2010,4,0.2946854,0.064483,41,5,3,4541935,214252.5919
17,10,2010,4,0.2589222,0.044855,51,6,3,4682422,279406.3719
17,11,2010,1,0.3486945,0.053158,37,7,3,2120144,216374.8613
17,12,2010,4,0.1874604,0.022225,101,8,4,4332866,802479.7894
17,14,2010,4,0.1708127,0.015915,36,9,4,2523353,140583.6809
17,15,2010,4,0.3889177,0.097705,51,9,4,5760010,745019.7773
17,16,2010,4,0.3604183,0.06822,54,3,2,3380809,239769.2492
17,17,2010,4,0.2488045,0.033369,63,5,3,4798150,452426.2821
17,18,2010,4,0.2421637,0.057249,32,7,3,1581901,134919.5114
17,19,2010,4,0.2992306,0.032606,56,1,1,3164086,506792.8331
17,20,2010,4,0.3394267,0.068855,47,2,1,4407152,212677.7315
17,21,2010,4,0.2405839,0.043338,95,3,2,4364813,439840.1402
17,22,2010,4,0.2342098,0.027227,88,9,4,3457822,692816.7903
17,23,2010,4,0.3233227,0.046007,42,9,4,2731144,491338.1734
17,24,2010,4,0.1297821,0.00991,34,5,3,2573463,163650.0988
17,25,2010,4,0.2121087,0.026431,99,7,3,6637076,758368.0107
17,26,2010,4,0.2617815,0.079885,48,5,3,2817007,371523.8572
17,91,2008,4,0.2466392,0.060495,30,1,1,916920,199123.5406
17,93,2010,4,0.2366819,0.037248,90,3,2,4433415,669443.6336
17,94,2010,4,0.200357,0.025012,93,4,2,3442838,445000.671
17,95,2010,4,0.1997913,0.032266,50,5,3,5422375,235402.6582
17,96,2010,1,0.2090656,0.05522,33,6,3,2376012,162132.9395
17,97,2010,3,0.176107,0.025461,47,7,3,3576243,307912.6512
17,98,2010,4,0.2386464,0.042179,47,8,4,2653240,358866.7097
17,99,2010,4,0.3064229,0.058158,40,9,4,2749702,211058.229
18,3,2010,2,1.355065,0.07347,45,2,1,4309950,797382.1803
18,5,2010,4,0.8819398,0.163605,42,3,2,5891526,259565.8766
18,6,2010,4,0.923523,0.1922951,36,4,2,5294133,450469.3499
18,16,2010,1,1.304864,0.082306,33,3,2,3380809,323096.3951
18,17,2010,4,1.530868,0.077363,57,5,3,4798150,668739.8272
18,19,2010,4,1.223012,0.1236232,31,1,1,3164086,455806.2265
18,20,2010,1,1.304464,0.1628069,33,2,1,4407152,327543.1731
18,21,2010,4,1.231329,0.1132175,30,3,2,4364813,281319.449
18,22,2010,1,1.222353,0.08143,33,9,4,3457822,331877.3668
18,24,2010,1,1.215253,0.082245,33,5,3,2573463,291515.6451
18,25,2010,4,1.90918,0.2348614,37,7,3,6637076,282355.1278
18,93,2010,3,1.172378,0.093711,31,3,2,4433415,527769.9141
19,1,2010,4,0.4826867,0.012534,532,1,1,1274081,3.333506721E7
19,2,2010,4,0.516444,0.011948,723,2,1,3144836,7.345599032E7
19,3,2010,4,0.4296209,0.004622,2995,2,1,4309950,1.164301453E8
19,4,2010,4,0.4683459,0.006385,1729,2,1,3505825,9.632955064E7
19,5,2010,4,0.4198863,0.00455,3261,3,2,5891526,1.453753338E8
19,6,2010,4,0.4338011,0.00452,3460,4,2,5294133,1.187274431E8
19,7,2010,4,0.4373108,0.00805,1121,5,3,2355997,5.476763188E7
19,8,2010,4,0.4280446,0.004908,2370,5,3,4541935,1.024754506E8
19,9,2010,4,0.4651492,0.013016,560,5,3,1147058,2.793934007E7
19,10,2010,4,0.4066603,0.005071,2220,6,3,4682422,9.628884401E7
19,11,2010,4,0.3979383,0.006927,978,7,3,2120144,3.770753968E7
19,12,2010,4,0.4420921,0.006244,2389,8,4,4332866,9.210117633E7
19,13,2010,4,0.4087684,0.008802,550,8,4,1435057,3.68605118E7
19,14,2010,4,0.4791523,0.00785,1395,9,4,2523353,6.615874432E7
19,15,2010,4,0.4611702,0.007097,1811,9,4,5760010,1.374169035E8
19,16,2010,4,0.4462491,0.006661,1786,3,2,3380809,8.239449799E7
19,17,2010,4,0.4692011,0.005368,2616,5,3,4798150,1.169966222E8
19,18,2010,4,0.3597709,0.010797,870,7,3,1581901,2.546157401E7
19,19,2010,4,0.5056956,0.006913,1551,1,1,3164086,9.510311844E7
19,20,2010,4,0.5113077,0.008343,1649,2,1,4407152,1.283294997E8
19,21,2010,4,0.4208423,0.004457,2749,3,2,4364813,1.094322503E8
19,22,2010,4,0.4387644,0.006938,1706,9,4,3457822,7.483247669E7
19,23,2010,4,0.4978875,0.008772,1027,9,4,2731144,6.378849581E7
19,24,2010,4,0.428616,0.007753,1166,5,3,2573463,5.471288638E7
19,25,2010,4,0.4155258,0.004824,2814,7,3,6637076,1.346005637E8
19,26,2010,4,0.4736273,0.007577,1195,5,3,2817007,7.126426547E7
19,91,2010,4,0.5052701,0.013498,433,1,1,912050,3.043609081E7
19,92,2010,4,0.4194123,0.007875,575,2,1,1023050,2.64065009E7
19,93,2010,4,0.4107315,0.004202,2480,3,2,4433415,9.920578747E7
19,94,2010,4,0.4171007,0.005068,1754,4,2,3442838,7.491130502E7
19,95,2010,4,0.4312776,0.005465,2126,5,3,5422375,1.237776233E8
19,96,2010,4,0.4154135,0.006528,1059,6,3,2376012,5.166321209E7
19,97,2010,4,0.3834679,0.007386,1388,7,3,3576243,6.601067706E7
19,98,2010,4,0.4472396,0.008009,1080,8,4,2653240,6.138950219E7
19,99,2010,4,0.45372,0.009971,962,9,4,2749702,6.231190453E7
2,1,2010,4,0.3327273,0.014049,326,1,1,1274081,4398674.808
2,2,2010,4,0.4090405,0.019851,390,2,1,3144836,1.132618051E7
2,3,2010,4,0.3019854,0.005863,2051,2,1,4309950,1.657105983E7
2,4,2010,4,0.3199303,0.007336,1173,2,1,3505825,1.488076349E7
2,5,2010,4,0.2989151,0.004771,2179,3,2,5891526,2.439079515E7
2,6,2010,4,0.2990222,0.005143,2317,4,2,5294133,2.320799974E7
2,7,2010,4,0.3086491,0.009483,758,5,3,2355997,9596308.289
2,8,2010,4,0.3090245,0.006417,1600,5,3,4541935,1.765074192E7
2,9,2010,4,0.3157857,0.011941,371,5,3,1147058,4862509.931
2,10,2010,4,0.2758589,0.004856,1496,6,3,4682422,1.72265685E7
2,11,2010,4,0.2836546,0.008853,659,7,3,2120144,6320861.843
2,12,2010,4,0.3008901,0.006542,1540,8,4,4332866,1.609232481E7
2,13,2010,4,0.2817357,0.012684,351,8,4,1435057,6239440.993
2,14,2010,4,0.3340163,0.012099,851,9,4,2523353,9130803.639
2,15,2010,4,0.3269219,0.008719,1014,9,4,5760010,1.895106043E7
2,16,2010,4,0.2969311,0.006433,1096,3,2,3380809,1.101536106E7
2,17,2010,4,0.3492319,0.006483,1740,5,3,4798150,1.880414004E7
2,18,2010,4,0.2655972,0.00965,576,7,3,1581901,4617796.476
2,19,2010,4,0.3341456,0.00755,1033,1,1,3164086,1.25559288E7
