foodgroup,year,quarter,price
Fruit Juice,2009,4,0.283961
Fruit Juice,2010,1,0.2879621
Fruit Juice,2010,2,0.3114634
Fruit Juice,2010,3,0.3121115
Fruit Juice,2010,4,0.2798643
Fresh/Frozen dark green vegetables,2004,1,0.3575698
Fresh/Frozen dark green vegetables,2004,2,0.3539564
Fresh/Frozen dark green vegetables,2004,3,0.3590849
Fresh/Frozen dark green vegetables,2004,4,0.3482857
Fresh/Frozen dark green vegetables,2005,1,0.3446724
Fresh/Frozen dark green vegetables,2005,2,0.3516155
Fresh/Frozen dark green vegetables,2005,3,0.3471142
Fresh/Frozen dark green vegetables,2005,4,0.3436456
Fresh/Frozen dark green vegetables,2006,1,0.3783996
Fresh/Frozen dark green vegetables,2006,2,0.3852622
Fresh/Frozen dark green vegetables,2006,3,0.3773888
Fresh/Frozen dark green vegetables,2006,4,0.3772733
Fresh/Frozen dark green vegetables,2007,1,0.4077847
Fresh/Frozen dark green vegetables,2007,2,0.3999255
Fresh/Frozen dark green vegetables,2007,3,0.3809485
Fresh/Frozen dark green vegetables,2007,4,0.3747841
Fresh/Frozen dark green vegetables,2008,1,0.3892929
Fresh/Frozen dark green vegetables,2008,2,0.3897043
Fresh/Frozen dark green vegetables,2008,3,0.3974288
Fresh/Frozen dark green vegetables,2008,4,0.3974679
Fresh/Frozen dark green vegetables,2009,1,0.4245435
Fresh/Frozen dark green vegetables,2009,2,0.4101245
Fresh/Frozen dark green vegetables,2009,3,0.4068845
Fresh/Frozen dark green vegetables,2009,4,0.4091044
Fresh/Frozen dark green vegetables,2010,1,0.4212019
Fresh/Frozen dark green vegetables,2010,2,0.4296132
Fresh/Frozen dark green vegetables,2010,3,0.4395165
Fresh/Frozen dark green vegetables,2010,4,0.4203251
Canned dark green vegetables,2004,1,0.2403788
Canned dark green vegetables,2004,2,0.2392285
Canned dark green vegetables,2004,3,0.2576522
Canned dark green vegetables,2004,4,0.251307
Canned dark green vegetables,2005,1,0.2771979
Canned dark green vegetables,2005,2,0.2595441
Canned dark green vegetables,2005,3,0.256884
Canned dark green vegetables,2005,4,0.2477323
Canned dark green vegetables,2006,1,0.2509531
Canned dark green vegetables,2006,2,0.2710397
Canned dark green vegetables,2006,3,0.2698845
Canned dark green vegetables,2006,4,0.2671634
Canned dark green vegetables,2007,1,0.2746898
Canned dark green vegetables,2007,2,0.3036422
Canned dark green vegetables,2007,3,0.2947102
Canned dark green vegetables,2007,4,0.2571479
Canned dark green vegetables,2008,1,0.2946793
Canned dark green vegetables,2008,2,0.298245
Canned dark green vegetables,2008,3,0.3166792
Canned dark green vegetables,2008,4,0.3057837
Canned dark green vegetables,2009,1,0.3344592
Canned dark green vegetables,2009,2,0.2996514
Canned dark green vegetables,2009,3,0.3117318
Canned dark green vegetables,2009,4,0.2918474
Canned dark green vegetables,2010,1,0.3133712
Canned dark green vegetables,2010,2,0.321144
Canned dark green vegetables,2010,3,0.3019735
Canned dark green vegetables,2010,4,0.3010865
Fresh/Frozen orange vegetables,2004,1,0.194475
Fresh/Frozen orange vegetables,2004,2,0.19353
Fresh/Frozen orange vegetables,2004,3,0.1814773
Fresh/Frozen orange vegetables,2004,4,0.181288
Fresh/Frozen orange vegetables,2005,1,0.1799233
Fresh/Frozen orange vegetables,2005,2,0.1915324
Fresh/Frozen orange vegetables,2005,3,0.2045729
Fresh/Frozen orange vegetables,2005,4,0.1774112
Fresh/Frozen orange vegetables,2006,1,0.2033617
Fresh/Frozen orange vegetables,2006,2,0.1866826
Fresh/Frozen orange vegetables,2006,3,0.2297678
Fresh/Frozen orange vegetables,2006,4,0.2690453
Fresh/Frozen orange vegetables,2007,1,0.1907599
Fresh/Frozen orange vegetables,2007,2,0.2014569
Fresh/Frozen orange vegetables,2007,3,0.2577782
Fresh/Frozen orange vegetables,2007,4,0.2308304
Fresh/Frozen orange vegetables,2008,1,0.3260404
Fresh/Frozen orange vegetables,2008,2,0.2515703
Fresh/Frozen orange vegetables,2008,3,0.2822475
Fresh/Frozen orange vegetables,2008,4,0.298629
Fresh/Frozen orange vegetables,2009,1,0.2950687
Fresh/Frozen orange vegetables,2009,2,0.3694048
Fresh/Frozen orange vegetables,2009,3,0.3026487
Fresh/Frozen orange vegetables,2009,4,0.3311474
Fresh/Frozen orange vegetables,2010,1,0.3238241
Fresh/Frozen orange vegetables,2010,2,0.2617346
Fresh/Frozen orange vegetables,2010,3,0.3506971
Fresh/Frozen orange vegetables,2010,4,0.2639469
Canned orange vegetables,2004,1,0.1463328
Canned orange vegetables,2004,2,0.1504515
Canned orange vegetables,2004,3,0.1552818
Canned orange vegetables,2004,4,0.1556196
Canned orange vegetables,2005,1,0.1470613
Canned orange vegetables,2005,2,0.1511612
Canned orange vegetables,2005,3,0.1511268
Canned orange vegetables,2005,4,0.1541565
Canned orange vegetables,2006,1,0.1571919
Canned orange vegetables,2006,2,0.1487289
Canned orange vegetables,2006,3,0.1557675
Canned orange vegetables,2006,4,0.1542298
Canned orange vegetables,2007,1,0.1501616
Canned orange vegetables,2007,2,0.1595488
Canned orange vegetables,2007,3,0.1499932
Canned orange vegetables,2007,4,0.1596759
Canned orange vegetables,2008,1,0.1650077
Canned orange vegetables,2008,2,0.170073
Canned orange vegetables,2008,3,0.1796482
Canned orange vegetables,2008,4,0.2002103
Canned orange vegetables,2009,1,0.1972969
Canned orange vegetables,2009,2,0.2064972
Canned orange vegetables,2009,3,0.206774
Canned orange vegetables,2009,4,0.2051164
Canned orange vegetables,2010,1,0.2059418
Canned orange vegetables,2010,2,0.2190887
Canned orange vegetables,2010,3,0.2119616
Canned orange vegetables,2010,4,0.2042498
Fresh/Frozen starchy vegetables,2004,1,0.2818474
Fresh/Frozen starchy vegetables,2004,2,0.2779161
Fresh/Frozen starchy vegetables,2004,3,0.2719738
Fresh/Frozen starchy vegetables,2004,4,0.2662804
Fresh/Frozen starchy vegetables,2005,1,0.2847027
Fresh/Frozen starchy vegetables,2005,2,0.2832128
Fresh/Frozen starchy vegetables,2005,3,0.3057862
Fresh/Frozen starchy vegetables,2005,4,0.2850166
Fresh/Frozen starchy vegetables,2006,1,0.3189562
Fresh/Frozen starchy vegetables,2006,2,0.3212499
Fresh/Frozen starchy vegetables,2006,3,0.3438677
Fresh/Frozen starchy vegetables,2006,4,0.3038598
Fresh/Frozen starchy vegetables,2007,1,0.330995
Fresh/Frozen starchy vegetables,2007,2,0.3329958
Fresh/Frozen starchy vegetables,2007,3,0.3500693
Fresh/Frozen starchy vegetables,2007,4,0.3228154
Fresh/Frozen starchy vegetables,2008,1,0.3358592
Fresh/Frozen starchy vegetables,2008,2,0.3526652
Fresh/Frozen starchy vegetables,2008,3,0.3904431
Fresh/Frozen starchy vegetables,2008,4,0.3380345
Fresh/Frozen starchy vegetables,2009,1,0.3653307
Fresh/Frozen starchy vegetables,2009,2,0.3663669
Fresh/Frozen starchy vegetables,2009,3,0.3779487
Fresh/Frozen starchy vegetables,2009,4,0.355513
Fresh/Frozen starchy vegetables,2010,1,0.3538257
Fresh/Frozen starchy vegetables,2010,2,0.3519119
Fresh/Frozen starchy vegetables,2010,3,0.3720802
Fresh/Frozen starchy vegetables,2010,4,0.3341456
Canned starchy vegetables,2004,1,0.1466083
Canned starchy vegetables,2004,2,0.1463214
Canned starchy vegetables,2004,3,0.1440641
Canned starchy vegetables,2004,4,0.1531222
Canned starchy vegetables,2005,1,0.1528042
Canned starchy vegetables,2005,2,0.1529648
Canned starchy vegetables,2005,3,0.1471038
Canned starchy vegetables,2005,4,0.1529929
Canned starchy vegetables,2006,1,0.1504143
Canned starchy vegetables,2006,2,0.1561415
Canned starchy vegetables,2006,3,0.1517972
Canned starchy vegetables,2006,4,0.158841
Canned starchy vegetables,2007,1,0.1821066
Canned starchy vegetables,2007,2,0.1887803
Canned starchy vegetables,2007,3,0.1781654
Canned starchy vegetables,2007,4,0.1861611
Canned starchy vegetables,2008,1,0.1783585
Canned starchy vegetables,2008,2,0.1803858
Canned starchy vegetables,2008,3,0.1836093
Canned starchy vegetables,2008,4,0.1723178
Canned starchy vegetables,2009,1,0.1978077
Canned starchy vegetables,2009,2,0.1789413
Canned starchy vegetables,2009,3,0.1918106
Canned starchy vegetables,2009,4,0.1786177
Canned starchy vegetables,2010,1,0.1894718
Canned starchy vegetables,2010,2,0.1849495
Canned starchy vegetables,2010,3,0.1863304
Canned starchy vegetables,2010,4,0.2003151
Fresh/Frozen select nutrient vegetables,2004,1,0.3876767
Fresh/Frozen select nutrient vegetables,2004,2,0.4384645
Fresh/Frozen select nutrient vegetables,2004,3,0.3878031
Fresh/Frozen select nutrient vegetables,2004,4,0.3821832
Fresh/Frozen select nutrient vegetables,2005,1,0.4109786
Fresh/Frozen select nutrient vegetables,2005,2,0.4035665
Fresh/Frozen select nutrient vegetables,2005,3,0.4183039
Fresh/Frozen select nutrient vegetables,2005,4,0.408843
Fresh/Frozen select nutrient vegetables,2006,1,0.4318326
Fresh/Frozen select nutrient vegetables,2006,2,0.4612353
Fresh/Frozen select nutrient vegetables,2006,3,0.4115284
Fresh/Frozen select nutrient vegetables,2006,4,0.3806685
Fresh/Frozen select nutrient vegetables,2007,1,0.3976468
Fresh/Frozen select nutrient vegetables,2007,2,0.4088853
Fresh/Frozen select nutrient vegetables,2007,3,0.4191954
Fresh/Frozen select nutrient vegetables,2007,4,0.4146518
Fresh/Frozen select nutrient vegetables,2008,1,0.396821
Fresh/Frozen select nutrient vegetables,2008,2,0.4165232
Fresh/Frozen select nutrient vegetables,2008,3,0.4449596
Fresh/Frozen select nutrient vegetables,2008,4,0.4138252
Fresh/Frozen select nutrient vegetables,2009,1,0.4708041
Fresh/Frozen select nutrient vegetables,2009,2,0.4919157
Fresh/Frozen select nutrient vegetables,2009,3,0.4146356
Fresh/Frozen select nutrient vegetables,2009,4,0.4172509
Fresh/Frozen select nutrient vegetables,2010,1,0.4320489
Fresh/Frozen select nutrient vegetables,2010,2,0.4788311
Fresh/Frozen select nutrient vegetables,2010,3,0.4367025
Fresh/Frozen select nutrient vegetables,2010,4,0.4146853
Canned select nutrients,2004,1,0.1780378
Canned select nutrients,2004,2,0.1662526
Canned select nutrients,2004,3,0.1901011
Canned select nutrients,2004,4,0.2177932
Canned select nutrients,2005,1,0.1915162
Canned select nutrients,2005,2,0.1914703
Canned select nutrients,2005,3,0.1689866
Canned select nutrients,2005,4,0.1886943
Canned select nutrients,2006,1,0.1851264
Canned select nutrients,2006,2,0.2108071
Canned select nutrients,2006,3,0.1853508
Canned select nutrients,2006,4,0.1938507
Canned select nutrients,2007,1,0.1910151
Canned select nutrients,2007,2,0.1974329
Canned select nutrients,2007,3,0.1998306
Canned select nutrients,2007,4,0.2057771
Canned select nutrients,2008,1,0.1885822
Canned select nutrients,2008,2,0.1857268
Canned select nutrients,2008,3,0.2208823
Canned select nutrients,2008,4,0.2105108
Canned select nutrients,2009,1,0.265523
Canned select nutrients,2009,2,0.2482883
Canned select nutrients,2009,3,0.2285165
Canned select nutrients,2009,4,0.2460039
Canned select nutrients,2010,1,0.2112142
Canned select nutrients,2010,2,0.2258584
Canned select nutrients,2010,3,
Canned select nutrients,2010,4,0.2487561
Fresh/Frozen other vegetables,2004,1,0.2323462
Fresh/Frozen other vegetables,2004,2,0.2492076
Fresh/Frozen other vegetables,2004,3,0.2572732
Fresh/Frozen other vegetables,2004,4,0.2338977
Fresh/Frozen other vegetables,2005,1,0.2435501
Fresh/Frozen other vegetables,2005,2,0.2641497
Fresh/Frozen other vegetables,2005,3,0.2721953
Fresh/Frozen other vegetables,2005,4,0.2497373
Fresh/Frozen other vegetables,2006,1,0.2458184
Fresh/Frozen other vegetables,2006,2,0.2801017
Fresh/Frozen other vegetables,2006,3,0.2795055
Fresh/Frozen other vegetables,2006,4,0.261253
Fresh/Frozen other vegetables,2007,1,0.2570459
Fresh/Frozen other vegetables,2007,2,0.2891491
Fresh/Frozen other vegetables,2007,3,0.297645
Fresh/Frozen other vegetables,2007,4,0.2658148
Fresh/Frozen other vegetables,2008,1,0.2746764
Fresh/Frozen other vegetables,2008,2,0.2937808
Fresh/Frozen other vegetables,2008,3,0.2979837
Fresh/Frozen other vegetables,2008,4,0.2699009
Fresh/Frozen other vegetables,2009,1,0.2731374
Fresh/Frozen other vegetables,2009,2,0.2923613
Fresh/Frozen other vegetables,2009,3,0.2882763
Fresh/Frozen other vegetables,2009,4,0.2704112
Fresh/Frozen other vegetables,2010,1,0.2747945
Fresh/Frozen other vegetables,2010,2,0.3023271
Fresh/Frozen other vegetables,2010,3,0.2825569
Fresh/Frozen other vegetables,2010,4,0.2660564
Canned other vegetables,2004,1,0.1750096
Canned other vegetables,2004,2,0.175881
Canned other vegetables,2004,3,0.1739414
Canned other vegetables,2004,4,0.1859919
Canned other vegetables,2005,1,0.1709155
Canned other vegetables,2005,2,0.1797407
Canned other vegetables,2005,3,0.1928189
Canned other vegetables,2005,4,0.2040751
Canned other vegetables,2006,1,0.1826818
Canned other vegetables,2006,2,0.1784453
Canned other vegetables,2006,3,0.2098021
Canned other vegetables,2006,4,0.2029333
Canned other vegetables,2007,1,0.2175818
Canned other vegetables,2007,2,0.1962594
Canned other vegetables,2007,3,0.2067231
Canned other vegetables,2007,4,0.2305972
Canned other vegetables,2008,1,0.2148316
Canned other vegetables,2008,2,0.2084259
Canned other vegetables,2008,3,0.2317083
Canned other vegetables,2008,4,0.2631463
Canned other vegetables,2009,1,0.2397459
Canned other vegetables,2009,2,0.251794
Canned other vegetables,2009,3,0.2538839
Canned other vegetables,2009,4,0.2778509
Canned other vegetables,2010,1,0.2506825
Canned other vegetables,2010,2,0.2208636
Canned other vegetables,2010,3,0.2165007
Canned other vegetables,2010,4,0.2884559
Frozen/Dried Legumes,2004,1,0.2076968
Frozen/Dried Legumes,2004,2,0.2061163
Frozen/Dried Legumes,2004,3,0.2111872
Frozen/Dried Legumes,2004,4,0.2129774
Frozen/Dried Legumes,2005,1,0.2090978
Frozen/Dried Legumes,2005,2,0.2197271
Frozen/Dried Legumes,2005,3,0.2272189
Frozen/Dried Legumes,2005,4,0.2289072
Frozen/Dried Legumes,2006,1,0.2380999
Frozen/Dried Legumes,2006,2,0.2449718
Frozen/Dried Legumes,2006,3,0.245851
Frozen/Dried Legumes,2006,4,0.2450936
Frozen/Dried Legumes,2007,1,0.2431838
Frozen/Dried Legumes,2007,2,0.2551745
Frozen/Dried Legumes,2007,3,0.2633435
Frozen/Dried Legumes,2007,4,0.248882
Frozen/Dried Legumes,2008,1,0.2547249
Frozen/Dried Legumes,2008,2,0.2839298
Frozen/Dried Legumes,2008,3,0.2811493
Frozen/Dried Legumes,2008,4,0.2699899
Frozen/Dried Legumes,2009,1,0.3008639
Frozen/Dried Legumes,2009,2,0.2926194
Frozen/Dried Legumes,2009,3,0.2809857
Frozen/Dried Legumes,2009,4,0.2696266
Frozen/Dried Legumes,2010,1,0.2637489
Frozen/Dried Legumes,2010,2,0.2776374
Frozen/Dried Legumes,2010,3,0.2741946
Frozen/Dried Legumes,2010,4,0.2752614
Canned Legumes,2004,1,0.1597647
Canned Legumes,2004,2,0.161232
Canned Legumes,2004,3,0.1696064
Canned Legumes,2004,4,0.1565494
Canned Legumes,2005,1,0.1697924
Canned Legumes,2005,2,0.1702048
Canned Legumes,2005,3,0.1726292
Canned Legumes,2005,4,0.1556773
Canned Legumes,2006,1,0.168838
Canned Legumes,2006,2,0.1760834
Canned Legumes,2006,3,0.1811897
Canned Legumes,2006,4,0.1767999
Canned Legumes,2007,1,0.181005
Canned Legumes,2007,2,0.192458
Canned Legumes,2007,3,0.1947171
Canned Legumes,2007,4,0.1835986
Canned Legumes,2008,1,0.1849886
Canned Legumes,2008,2,0.1899122
Canned Legumes,2008,3,0.2024023
Canned Legumes,2008,4,0.2059406
Canned Legumes,2009,1,0.2238549
Canned Legumes,2009,2,0.234389
Canned Legumes,2009,3,0.22347
Canned Legumes,2009,4,0.2017299
Canned Legumes,2010,1,0.2299404
Canned Legumes,2010,2,0.2205664
Canned Legumes,2010,3,0.2239309
Canned Legumes,2010,4,0.20409
